"Rank","Film Title","Director","Year"
"=243", "Annie Hall", "Woody Allen", "1977"
"=243", "The Quince Tree Sun", "Víctor Erice", "1992"
"=243", "Distant Voices, Still Lives", "Terence Davies", "1988"
"=243", "A Clockwork Orange", "Stanley Kubrick", "1971"
"=243", "Mouchette", "Robert Bresson", "1966"
"=243", "Sullivan’s Travels", "Preston Sturges", "1941"
"=243", "In Vanda’s Room", "Pedro Costa", "2000"
"=243", "Nostalgia for the Light", "Patricio Guzmán", "2010"
"=243", "Earth", "Alexander Dovzhenko", "1930"
"=243", "A Canterbury Tale", "Michael Powell & Emeric Pressburger", "1944"
"=243", "Soleil Ô", "Med Hondo", "1970"
"=243", "Morvern Callar", "Lynne Ramsay", "2001"
"=243", "Born in Flames", "Lizzie Borden", "1983"
"=243", "My Darling Clementine", "John Ford", "1946"
"=243", "Pandora’s Box", "G.W. Pabst", "1928"
"=243", "The Last Laugh", "F.W. Murnau", "1924"
"=243", "Videodrome", "David Cronenberg", "1983"
"=243", "The Intruder", "Claire Denis", "2004"
"=243", "Werckmeister Harmonies", "Béla Tarr & Ágnes Hranitzky", "2000"
"=243", "Syndromes and a Century", "Apichatpong Weerasethakul", "2006"
"=243", "Possession", "Andrzej Żuławski", "1981"
"=243", "Taste of Cherry", "Abbas Kiarostami", "1997"
"=225", "Happy Together", "Wong Kar Wai", "1997"
"=225", "Europa ’51", "Roberto Rossellini", "1952"
"=225", "The Hour of the Furnaces", "Octavio Getino & Fernando Solanas", "1968"
"=225", "The Crowd", "King Vidor", "1928"
"=225", "A Touch of Zen", "King Hu", "1969"
"=225", "As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty", "Jonas Mekas", "2000"
"=225", "Grave of the Fireflies", "Takahata Isao", "1988"
"=225", "Cries and Whispers", "Ingmar Bergman", "1972"
"=225", "Flowers of Shanghai", "Hou Hsiao-hsien", "1998"
"=225", "Star Wars", "George Lucas", "1977"
"=225", "The Green Ray", "Éric Rohmer", "1986"
"=225", "Blue", "Derek Jarman", "1993"
"=225", "Crash", "David Cronenberg", "1996"
"=225", "Intolerance", "D.W. Griffith", "1916"
"=225", "Je tu il elle", "Chantal Akerman", "1974"
"=225", "Petite maman", "Céline Sciamma", "2021"
"=225", "Harlan County USA", "Barbara Kopple", "1976"
"=225", "Napoléon", "Abel Gance", "1927"
"=211", "Raiders of the Lost Ark", "Steven Spielberg", "1981"
"=211", "In a Lonely Place", "Nicholas Ray", "1950"
"=211", "The Deer Hunter", "Michael Cimino", "1978"
"=211", "Limite", "Mário Peixoto", "1931"
"=211", "Duck Soup", "Leo McCarey", "1933"
"=211", "Melancholia", "Lars von Trier", "2011"
"=211", "All about Eve", "Joseph L. Mankiewicz", "1950"
"=211", "Pink Flamingos", "John Waters", "1972"
"=211", "Army of Shadows", "Jean-Pierre Melville", "1969"
"=211", "Twenty Years Later", "Eduardo Coutinho", "1984"
"=211", "Twin Peaks: Fire Walk With Me", "David Lynch", "1992"
"=211", "Brief Encounter", "David Lean", "1945"
